territory_id;year;migration_balance;total_population;migration_rate;region;municipality_up_name;municipality_down_name;settlement_name;settlement_name_sep;type;arctic;remote;special;suburb;pop_men;pop_women;pop_total;latitude;longitude;mun_oktmo;sett_oktmo;wage_average;social_share;kindergarden_salary;school_salary;culture_salary;housing_depreciation;emergency_housing;building_construction_space;families_improve;space_per_capita;dtp_deaths_norm;dtp_injury_norm;primary_avaiability;dentists;terapists;pediatricians;support_staff;comments_health_perc;aviation_sun;aviation_center;death_rate;natural_growth;sport_facilities;sport_halls;sport_pools;sport_stadiums;sport_gym;cinemas;libraries;theatres;culture_centers;catering;improving_facilities;disabled_transport;disabled_buildings;lighting;kindergardens_availability;certificate_fail;russian_oge;math_oge;russian_ege;math_ege_base;math_ege_plus;spendings_per_schoolar;additional_education;ecology_spending;ecology_projects;emissions_all;emissions_first;emissions_second;comments_eco_perc;ecology_polygon;investments_per_capita;retail_federal;loss_results;gain_results;unemployed;revenue_per_capita;profit_bt_per_capita;vacancies;grocery store_norm;pvz_norm;nomadic_education_primary;nomadic_education_main;nomadic_education_high;nomadic_ngo;nomadic_language;nomadic_support;nomadic_firms;2.1.2_healthcare_new;2.1.3_housing_new;2.1.4_sports_new;2.1.7_public_spaces_new;2.1.8_education_new;2.2.1_air_quality_new;2.3.5_suitability_indigenous_binary_new;2.7_crime_experience_binary_new;municipality_up_name_actual;avg_consumption_all;consumption_здоровье;consumption_маркетплейсы;consumption_общественное_питание;consumption_продовольствие;consumption_транспорт;market_access
718;2023;-650.0;61608.0;-10.550577847032852;Красноярский край;Таймырский Долгано-Ненецкий муниципальный район;Сельское поселение Хатанга;село Хатанга;село Хатанга (Красноярский край);село;True;True;ПНП;False;;;2645;71.9802545;102.47615869;4653000;4653419101;5,65;8,7;5,18;5,99;3,81;49,80;9,38;0,00;10,21;20,97;0,76;0,76;1,0;0,76;1,51;0,76;11,72;5;1,0;1,0;10,4;1,9;0,8;1,9;0,0;0,0;1,5;0,0;0,4;0,0;0,8;1,1;0,0;0,0;20,0;63,9;77,2;3,7;3,5;3,3;53,1;4,0;49,1;0,02;80,0;21,9;0,5;964,8;0,5;0,4;5;1,0;138,0;0,0;61,8;13085,3;4,5;226,8;1,8;40,5;6,0;0,0;0,00;0,00;0,00;;115,69;79,04;4,28;;;;;;;;;Таймырский Долгано-Ненецкий муниципальный район;45573.416666666664;1551.5;3353.8333333333335;1858.6666666666667;19419.333333333332;1125.4166666666667;
720;2023;462.0;26411.0;17.49271137026239;Красноярский край;Туруханский муниципальный район;Сельское поселение Туруханский сельсовет;село Туруханск;село Туруханск (Красноярский край);село;True;False;ОНП;False;1446.0;1732.0;3178;65.7939965;87.9555316;4654000;4654434101;5,44;9,3;3,62;4,10;3,72;38,04;0,99;0,50;24,86;31,33;0,31;2,52;1,0;1,57;0,94;0,94;16,05;10,38;1,0;1,0;14,6;-3,4;1,6;1,6;0,0;0,0;0,0;0,0;0,6;0,0;0,3;0,3;168,7;0,0;;90,0;73,3;4,8;3,0;3,0;56,5;3,5;41,6;0,02;74,8;81,8;0,0;2547,5;70,1;1,2;11,32;0,0;245,7;0,0;2,5;3679,7;;910,9;37,8;;5,3;0,0;0,00;0,00;0,00;0,00;0,00;38,13;3,72;;;;;;;;;Туруханский муниципальный район;39364.083333333336;1864.1666666666667;2043.0833333333333;1575.5;15266.333333333334;1233.8333333333333;
726;2023;-158.0;27829.0;-5.677530633511804;Красноярский край;Эвенкийский муниципальный район;Сельское поселение поселок Тура;поселок Тура;поселок Тура (Красноярский край);поселок;True;False;ОНП;False;2109.0;2331.0;4440;64.27428747;100.2108469;4650000;4650402101;4,69;11,3;4,88;5,31;3,94;;43,48;1,04;12,61;25,20;0,00;1,58;1,0;0,90;1,58;0,90;18,24;0;1,0;1,0;12,6;2,0;0,2;1,4;0,0;0,0;0,2;0,0;0,5;0,0;0,2;1,4;0,0;0,0;44,3;91,1;71,7;0,5;3,5;3,5;57,6;3,8;42,3;0,01;65,8;34,9;0,0;449,6;0,3;2,9;0;1,0;212,5;0,0;13,7;76,7;7,5;830,2;73,2;161,2;3,4;0,0;0,00;0,00;0,00;0,00;18,69;717,07;3,72;;;;;;;;;Эвенкийский муниципальный район;36097.75;1665.3333333333333;1514.75;1638.6666666666667;14561.333333333334;853.8333333333334;
906;2023;-130.0;6231.0;-20.863424811426736;Архангельская область;Лешуконский муниципальный район;Лешуконское сельское поселение;село Лешуконское;село Лешуконское (Архангельская область);село;True;False;ОНП;False;1600.0;1950.0;3550;64.897914;45.758867;11538000;11538000101;2,80;51,8;2,92;3,50;;27,33;17,04;1,02;2,82;59,10;0,00;2,54;1,0;0,28;1,13;0,28;12,68;18,59;1,0;1,0;26,7;-16,5;1,7;0,8;0,0;0,0;0,0;0,0;0,6;0,0;0,8;0,6;;0,0;0,0;51,2;56,3;0,0;4,1;3,8;73,8;4,5;62,3;0,02;65,7;0,2;0,0;1568,3;2,6;2,2;7,05;0,0;0,1;0,0;0,6;5,0;16,5;190,6;19,3;15,7;4,5;0,8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;Лешуконский муниципальный округ;;;;;;;241.1
909;2023;-776.0;52777.0;-14.703374576046384;Архангельская область;Онежский муниципальный район;Городское поселение Малошуйское;рп Малошуйка;рп Малошуйка (Архангельская область);рп;True;False;ПНП;False;947.0;1052.0;1999;63.707442;37.453802;11646000;11646000052;2,55;45,7;2,12;2,01;;;31,58;0,00;1,00;25,50;0,00;7,00;1,0;1,00;0,00;0,00;5,50;12,9;0,0;0,0;17,2;-9,2;0,5;1,0;0,0;0,0;0,5;0,0;0,5;0,0;0,5;1,0;0,0;;0,0;20,0;53,0;0,0;4,2;3,4;68,7;4,4;56,4;0,01;76,4;1,0;0,0;409,4;1,5;0,4;0;1,0;1,1;0,0;26,4;28,6;5,7;15,2;0,8;13,0;3,5;0,0;0,00;0,00;0,00;;;;;;;;;;;;;Онежский муниципальный район;26960.75;1102.3333333333333;2951.6666666666665;600.0833333333334;13537.25;1116.5;250.5
910;2023;-228.0;39362.0;-5.792388598140338;Архангельская область;Пинежский муниципальный район;Карпогорское сельское поселение;село Карпогоры;село Карпогоры (Архангельская область);село;True;False;ОНП;False;1533.0;1871.0;3404;64.000907;44.449961;11548000;11548000101;3,04;41,9;2,58;2,97;2,72;37,25;5,31;1,78;13,22;23,73;0,00;3,23;1,0;3,53;3,23;2,06;47,00;3,21;1,0;1,0;20,8;-10,8;2,6;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,6;2,1;0,0;0,0;50,0;;91,6;1,0;4,0;3,6;63,1;3,8;54,1;0,01;;1,2;0,0;728,1;3852,2;0,9;7,18;0,0;5,0;1,0;1,2;9,3;10,2;322,0;31,8;44,3;6,5;1,5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;Пинежский муниципальный округ;23703.833333333332;919.9166666666666;2260.75;422.5;12929.833333333334;1209.75;252.2
912;2023;562.0;61900.0;9.079159935379645;Архангельская область;Приморский муниципальный район;Уемское сельское поселение;поселок Уемский;поселок Уемский (Архангельская область);поселок;True;False;ПНП;True;2023.0;2209.0;4232;64.4757;40.862821;11552000;11552000296;3,40;26,4;2,33;2,78;2,57;35,03;26,47;2,43;3,07;101,58;0,00;2,60;1,0;0,47;1,65;0,24;4,25;9,28;0,0;0,0;15,4;-6,8;0,5;0,2;0,0;0,0;0,0;0,0;0,5;0,0;0,2;0,5;0,0;;100,0;44,4;99,0;0,2;3,9;3,5;69,2;4,2;47,2;0,01;84,8;4,3;0,0;39462,3;1002,7;0,8;3,09;0,0;3,9;1,0;7,0;39,3;7,0;17848,8;1238,1;9,7;3,1;0,5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,1;2,0;2,6;2,1;2,7;2,9;0,8;0,5;Приморский муниципальный округ;32521.5;1155.5833333333333;3900.0;1330.0833333333333;13371.0;2012.8333333333333;325.4
912;2023;562.0;61900.0;9.079159935379645;Архангельская область;Приморский муниципальный район;Катунинское сельское поселение;посёлок Катунино;посёлок Катунино (Архангельская область);поселок;True;False;ОНП;True;1617.0;1945.0;3562;64.389661;40.63161;11552000;11552000286;3,40;26,4;2,29;2,79;2,45;27,77;0,00;2,50;5,05;108,75;0,00;0,28;0,5;0,56;0,84;0,56;3,37;1,72;0,0;0,0;15,4;-6,8;1,1;0,3;0,0;0,0;0,0;0,0;0,3;0,0;0,3;0,3;0,3;;100,0;45,9;98,2;0,2;3,8;3,5;69,1;4,1;52,3;0,01;86,3;4,3;0,0;2044,2;3,0;2,8;3,45;0,0;3,9;1,0;7,0;39,3;8,6;6414,8;318,8;5,7;3,4;0,8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;Приморский муниципальный округ;32521.5;1155.5833333333333;3900.0;1330.0833333333333;13371.0;2012.8333333333333;325.4
917;2023;376.0;37601.0;9.999734049626339;Ненецкий автономный округ;Заполярный муниципальный район;Городское поселение рабочий поселок Искателей;рабочий поселок Искателей;рабочий поселок Искателей (Ненецкий автономный округ);рп;True;False;0;True;3526.0;3740.0;7266;67.676782;53.1293139;11811000;11811111051;4,99;15,5;3,03;4,24;3,29;26,51;24,52;1,70;2,06;23,68;0,41;2,48;1,0;0,41;1,38;0,41;4,95;1,65;0,0;0,0;12,7;0,1;0,1;0,6;0,0;0,0;0,1;0,0;0,1;0,0;0,1;0,7;2513,6;100,0;89,2;71,9;89,8;0,0;3,6;3,3;68,8;4,1;53,2;0,02;81,5;67,0;1,0;926,1;5000,9;3,3;10,47;1,0;145,7;0,0;95,1;290,9;8,1;4752,7;-856,7;38,0;4,1;1,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,8;3,7;3,6;3,7;3,8;3,3;0,9;0,2;Заполярный муниципальный район;40349.5;1414.75;2683.6666666666665;1471.8333333333333;17162.75;1816.75;210.2
1514;2023;-34.0;4346.0;-7.823285780027611;Мурманская область;Городской округ поселок Видяево (ЗАТО);Городской округ поселок Видяево (ЗАТО);населенный пункт Видяево;населенный пункт Видяево (Мурманская область);поселок;True;False;0;False;2188.0;2139.0;4327;69.319502;32.799553;47735000;47735000101;2,76;;2,85;3,13;2,71;25,71;2,33;0,00;172,41;31,19;0,23;0,23;1,0;0,46;0,69;0,23;3,70;11,26;0,0;0,0;3,6;7,3;0,9;0,2;0,2;0,0;0,2;0,0;0,2;0,0;0,2;0,5;0,0;;100,0;80,0;76,5;0,0;3,8;3,8;65,3;4,3;59,7;0,01;66,3;6,6;1,0;1658,9;0,2;6,7;6,62;1,0;;1,0;0,2;;5,3;2477,5;1011,4;103,2;1,4;1,2;1,00;1,00;1,00;0,00;0,00;0,00;0,00;2,8;2,9;2,9;2,4;3,0;3,6;0,9;0,3;городской округ ЗАТО поселок Видяево;;;;;;;213.7
